vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.0319718,0.201248,0,23.4744,14.4134,0.315052,0,0.120749
0.0228017,0.20344,0,23.6893,14.5647,0.0298367,0,0.122064
0.016191,0.192252,0,23.7864,14.7013,0.603295,0,0.115351
0.0176224,0.200926,0,23.8089,14.6893,0.632489,0,0.120556
0.0118512,0.201181,0,23.9248,14.7768,0.666308,0,0.120708
0.0230304,0.148021,0,23.6663,14.575,0.478444,0,0.0888128
0.0259006,0.166634,0,23.6069,14.5136,0.390682,0,0.0999802
0.025017,0.162213,0,23.578,14.5336,0.403407,0,0.097328
0.0159375,0.198462,0,23.8042,14.6963,0.23444,0,0.119077
0.0158964,0.261258,0,23.7832,14.7296,0.562485,0,0.156755
0.0201347,0.261817,0,23.8344,14.6206,0.178177,0,0.15709
0.0183754,0.204645,0,23.7799,14.6513,0.227064,0,0.122787
0.0201389,0.185169,0,23.8075,14.6145,0.161624,0,0.111101
0.0244147,0.197226,0,23.6449,14.5324,0.202894,0,0.118336
0.0188404,0.221822,0,23.8464,14.6398,0.0243754,0,0.133093
0.0180522,0.232875,0,23.7284,14.6638,0.592824,0,0.139725
0.0164511,0.204672,0,23.8334,14.7124,0.541029,0,0.122803
0.0198851,0.254242,0,23.8101,14.6437,0.855892,0,0.152545
0.0277833,0.188053,0,23.673,14.4678,0.0985579,0,0.112832
0.0193054,0.164162,0,23.7821,14.6434,0.63688,0,0.0984974
0.020422,0.170658,0,23.8089,14.618,0.369794,0,0.102395
0.0365112,0.168937,0,23.3268,14.327,0.311271,0,0.101362
0.0193355,0.200437,0,23.864,14.6569,0.644195,0,0.120262
0.0178261,0.213984,0,23.8612,14.7089,0.615614,0,0.12839
0.0177863,0.186975,0,23.779,14.6741,0.732707,0,0.112185
0.0246593,0.144861,0,23.7345,14.5324,0.467026,0,0.0869164
0.0257191,0.187079,0,23.5931,14.5121,0.358297,0,0.112247
0.0200396,0.187119,0,23.7714,14.6294,0.463218,0,0.112271
0.0202858,0.183645,0,23.6111,14.6257,0.543173,0,0.110187
0.0172973,0.200176,0,23.8808,14.6706,0.208954,0,0.120106
0.0106517,0.222669,0,23.9247,14.7971,0.297381,0,0.133602
0.0418478,0.218673,0,23.7633,14.2076,0.243765,0,0.131204
0.0164612,0.192215,0,23.8397,14.6927,0.346979,0,0.115329
0.0209999,0.224522,0,23.6001,14.6022,0.0523133,0,0.134713
0.0187356,0.201721,0,23.7785,14.6758,0.742257,0,0.121033
0.013909,0.229435,0,23.8876,14.7354,0.416624,0,0.137661
0.0194747,0.218036,0,23.7924,14.6747,0.946805,0,0.130821
0.0222572,0.186578,0,23.7417,14.5792,0.423207,0,0.111947
0.0140344,0.172143,0,23.9169,14.7352,0.198889,0,0.103286
0.0170924,0.210149,0,23.7929,14.7007,0.637445,0,0.126089
0.0143358,0.142557,0,23.7884,14.7293,0.414419,0,0.0855344
0.0206152,0.222964,0,23.7933,14.6259,0.648296,0,0.133778
0.0172201,0.152696,0,23.8753,14.6806,0.35358,0,0.0916178
0.0179775,0.232378,0,23.8763,14.6582,0.360685,0,0.139427
0.0170879,0.195256,0,23.8705,14.6744,0.256721,0,0.117153
0.020406,0.162998,0,23.8459,14.6165,0.37152,0,0.0977988
0.0265425,0.197748,0,23.5959,14.5147,0.747485,0,0.118649
0.0240483,0.233855,0,23.6758,14.5403,0.269773,0,0.140313
0.017783,0.22761,0,23.7686,14.6629,0.419783,0,0.136566
0.0148152,0.204885,0,23.8483,14.7217,0.530085,0,0.122931
0.018181,0.191782,0,23.6813,14.6793,0.587535,0,0.115069
0.0393301,0.193593,0,23.6229,14.2742,0.564353,0,0.116156
0.0148438,0.221005,0,23.8643,14.7224,0.132203,0,0.132603
0.0314062,0.180729,0,23.5454,14.4017,0.289558,0,0.108437
0.0189094,0.194882,0,23.7843,14.6586,0.456985,0,0.116929
0.0096336,0.209876,0,23.9462,14.8283,0.37019,0,0.125926
0.0240112,0.162162,0,23.6755,14.5452,0.313092,0,0.0972973
0.0152217,0.160895,0,23.7394,14.7191,0.644731,0,0.0965371
0.0171875,0.235902,0,23.8225,14.6768,0.379394,0,0.141541
