vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.0134205,0.340955,0,24.0063,14.7683,0.034049,0,0.204573
0.00459372,0.314613,0,24.0637,14.9334,0.259374,0,0.188768
0.00314413,0.291019,0,24.0872,14.9463,0.375088,0,0.174612
0.0457493,0.266248,0,23.1851,14.1267,0.0762839,0,0.159749
0.0343731,0.228003,0,23.6328,14.4309,0.740576,0,0.136802
0.0129376,0.312481,0,24.0408,14.7978,0.599752,0,0.187489
0.037728,0.344874,0,23.6457,14.3062,0.110649,0,0.206925
0.0543734,0.309874,0,23.3352,14.2244,0.651153,0,0.185924
0.0160518,0.306852,0,23.8587,14.7085,0.296893,0,0.184111
0.0215731,0.328148,0,23.8112,14.5939,0.783064,0,0.196889
0.116545,0.28488,0,22.2917,13.0794,1.18161,0,0.170928
0.0508651,0.331607,0,23.1971,14.064,0.160925,0,0.198964
0.0919868,0.342519,0,22.0943,13.8191,1.30787,0,0.205511
0.00570515,0.340691,0,24.0722,14.8908,0.853442,0,0.204415
0.011946,0.339809,0,23.9902,14.7891,0.0437555,0,0.203885
0.101118,0.314388,0,22.0124,13.1067,0.0943232,0,0.188633
0.0486398,0.336964,0,23.4099,14.3414,0.448599,0,0.202179
0.0276129,0.316829,0,24.0396,14.5903,0.298916,0,0.190097
0.00405052,0.292304,0,24.023,14.926,0.486038,0,0.175382
0.056145,0.366884,0,23.3508,14.0038,0.105557,0,0.22013
0.0309344,0.319249,0,23.8133,14.4995,0.841036,0,0.191549
0.00854018,0.268173,0,23.8625,14.8473,0.654608,0,0.160904
0.049768,0.256248,0,23.4178,14.223,0.777066,0,0.153749
0.0431206,0.317998,0,23.6634,14.194,0.285178,0,0.190799
0.0615954,0.342091,0,22.6918,13.8573,0.234774,0,0.205255
0.079524,0.303662,0,22.5871,13.4826,0.241694,0,0.182197
0.020754,0.300257,0,23.8712,14.6644,1.46059,0,0.180154
0.0393903,0.279873,0,23.4017,14.2586,0.0535016,0,0.167924
0.0206361,0.279504,0,23.6609,14.6232,0.398496,0,0.167702
0.00294166,0.31693,0,24.0318,14.9468,0.768322,0,0.190158
0.0100096,0.365567,0,23.9175,14.881,1.35655,0,0.21934
0.0329968,0.320856,0,24.0145,14.527,0.499544,0,0.192514
0.082139,0.325903,0,23.2062,13.9044,0.280478,0,0.195542
0.0366356,0.367473,0,23.5725,14.5599,0.857468,0,0.220484
0.16387,0.318949,0,21.309,12.2362,0.235972,0,0.191369
0.154074,0.363682,0,20.9491,13.0886,0.95663,0,0.218209
0,0.312314,0,24.1197,15,0.171373,0,0.187388
0.0536332,0.345181,0,23.317,14.295,1.04807,0,0.207109
0.0138835,0.34182,0,23.7072,14.7505,0.783159,0,0.205092
0.122159,0.346591,0,21.4664,12.982,0.538511,0,0.207954
0.0303498,0.368088,0,23.7125,14.7325,1.28427,0,0.220853
0,0.325743,0,24.1197,15,0.590278,0,0.195446
0.0145528,0.332739,0,24.0869,14.7926,0.217544,0,0.199643
0.08972,0.314128,0,22.4625,13.7465,0.48082,0,0.188477
0.0365823,0.362767,0,23.401,14.3305,0.362854,0,0.21766
0.0907352,0.298627,0,23.0932,13.4507,0.00134516,0,0.179176
0.0508335,0.323805,0,23.1179,14.2497,0.765231,0,0.194283
0.000704801,0.316114,0,24.103,14.9867,0.226159,0,0.189669
0,0.282057,0,24.1197,15,0.774063,0,0.169234
0.0902144,0.351876,0,23.5423,13.5483,0.370854,0,0.211126
0.00857682,0.288507,0,23.9858,14.8472,0.142863,0,0.173104
0.0226097,0.328675,0,23.6432,14.571,0.271341,0,0.197205
0.00103156,0.323375,0,24.1114,14.9842,1.20982,0,0.194025
0,0.300549,0,24.1197,15,0.228684,0,0.180329
0.00854274,0.331658,0,24.0863,14.8922,0.938689,0,0.198995
0.0912859,0.326572,0,23.1657,13.3097,0.0809917,0,0.195943
