vx,wabs,obstacle,align,follow,angle,fwd,twirl
0.0252786,0.388334,0,23.6051,14.6074,0.866681,0,0.233
0.0399919,0.398413,0,23.5049,14.4829,0.904368,0,0.239048
0,0.375844,0,24.1197,15,0.981353,0,0.225507
0.0679071,0.353091,0,23.192,13.7123,0.165186,0,0.211855
0.0259243,0.30406,0,23.5208,14.5619,0.507407,0,0.182436
0.0522532,0.336384,0,22.7069,14.2038,1.07466,0,0.20183
0.0280175,0.52371,0,24.0099,14.6255,0.504529,0,0.314226
0.0271247,0.227125,0,23.7714,14.4916,0.776129,0,0.136275
0.0154029,0.195496,0,23.9115,14.7095,0.843749,0,0.117298
0.017927,0.200617,0,23.7026,14.6762,0.32834,0,0.12037
0.0319014,0.401065,0,23.7131,14.4457,0.0478005,0,0.240639
0.0189741,0.223076,0,23.8521,14.6757,0.496666,0,0.133845
0.0887681,0.295228,0,21.928,13.3594,0.715713,0,0.177137
0.0742228,0.18306,0,22.8862,13.6453,0.496657,0,0.109836
0.108602,0.302782,0,22.6428,13.0629,0.269943,0,0.181669
0.03125,0.409867,0,23.8091,14.4077,0.563034,0,0.24592
0.0145667,0.500922,0,23.7005,14.7215,0.376763,0,0.300553
0.135645,0.268133,0,22.1812,12.4064,0.184445,0,0.16088
0.0194462,0.281721,0,23.8845,14.6267,0.0666485,0,0.169033
0.046765,0.388906,0,22.7587,14.3011,1.63815,0,0.233344
0.0217209,0.145106,0,23.7245,14.5873,0.196763,0,0.0870634
0.00622188,0.424342,0,24.1013,14.8894,0.618858,0,0.254605
0.0639792,0.458213,0,22.8504,13.8048,0.674703,0,0.274928
0.117532,0.2417,0,22.7354,12.8323,0.940623,0,0.14502
0.00991297,0.310205,0,23.9769,14.8641,0.951631,0,0.186123
0.0356602,0.0807366,0,23.9364,14.3165,0.018899,0,0.048442
0.0616547,0.323618,0,22.6024,13.9401,0.497824,0,0.194171
0.016662,0.375944,0,23.6658,14.7348,1.1543,0,0.225566
0.03125,0.16046,0,23.4483,14.414,0.614152,0,0.0962759
0.0917026,0.229208,0,23.4783,13.2613,0.943385,0,0.137525
0.0271533,0.243291,0,23.6269,14.5003,0.00609303,0,0.145974
0.03125,0.259,0,23.7086,14.4659,0.150192,0,0.1554
0.00553222,0.227933,0,23.9669,14.9075,0.965086,0,0.13676
0.03125,0.222952,0,23.2604,14.4015,0.163137,0,0.133771
0.047562,0.16478,0,23.214,14.1217,0.598329,0,0.098868
0.075984,0.282324,0,22.9814,13.6203,0.125434,0,0.169394
0.0588539,0.18007,0,23.5982,13.929,0.224697,0,0.108042
0.00389878,0.439433,0,24.0629,14.9454,0.810786,0,0.26366
0.00802949,0.0656265,0,23.9322,14.8504,0.495127,0,0.0393759
0.0487308,0.27654,0,23.6772,14.1394,0.0684485,0,0.165924
0.0337368,0.350347,0,23.7326,14.7226,1.90541,0,0.210208
0.0823815,0.200043,0,22.8603,13.4475,0.352982,0,0.120026
0.0272441,0.37529,0,23.3904,14.5063,0.608712,0,0.225174
0.0981508,0.506363,0,23.4095,13.5646,0.777884,0,0.303818
0.149044,0.348989,0,21.1051,12.2646,0.859216,0,0.209393
0.0491632,0.398236,0,23.5493,14.39,0.567132,0,0.238941
0.0689686,0.208917,0,22.8792,13.7473,0.420825,0,0.12535
0.0646931,0.304468,0,22.7634,13.8782,0.866264,0,0.182681
0.0294647,0.417671,0,23.4436,14.5184,1.28423,0,0.250603
0.0523414,0.367048,0,23.0849,14.2613,0.487383,0,0.220229
0,0.358824,0,24.1197,15,1.43016,0,0.215294
0.0665188,0.337637,0,23.6388,13.9502,0.153165,0,0.202582
0.0625,0.382645,0,23.3179,13.9712,1.09459,0,0.229587
0.0539532,0.459075,0,23.5079,14.6295,1.38732,0,0.275445
0.0154762,0.35187,0,23.7583,14.7597,0.633593,0,0.211122
0.0144416,0.0990963,0,23.9471,14.7232,0.0561843,0,0.0594578
0.0641095,0.407579,0,23.6704,14,0.084394,0,0.244548
0.106839,0.264449,0,22.443,12.974,0.0441155,0,0.158669
0.0502743,0.365748,0,23.4316,14.1597,0.0514584,0,0.219449
0.195097,0.322742,0,21.7907,11.6562,0.66748,0,0.193645
0.0311515,0.281297,0,23.8971,14.4308,1.19991,0,0.168778
0.0482685,0.234592,0,23.3432,14.1263,0.731605,0,0.140755
0.0955126,0.324666,0,23.5048,13.2815,0.292752,0,0.194799
0.0580746,0.31595,0,22.9982,14.1257,1.05464,0,0.18957
0.00980038,0.530311,0,24.1265,14.9412,0.0997629,0,0.318187
0.03125,0.222609,0,23.7557,14.4015,0.373401,0,0.133565
0.0195507,0.2846,0,23.7446,14.6263,0.0207958,0,0.17076
0.0477785,0.357681,0,23.0945,14.2489,1.26457,0,0.214608
0.114728,0.406684,0,22.1292,13.3199,1.69753,0,0.244011
0.03125,0.194322,0,23.7323,14.4124,0.866975,0,0.116593
0.0474079,0.2016,0,22.8284,14.1495,0.677292,0,0.12096
0.00452944,0.449145,0,23.9787,14.9137,0.119665,0,0.269487
0.0488813,0.278574,0,23.0646,14.101,0.579985,0,0.167144
0.0192701,0.264784,0,23.5441,14.6317,0.0473065,0,0.158871
0.050575,0.414128,0,23.2295,14.2368,1.63186,0,0.248477
0.0551649,0.315226,0,23.148,14.0927,1.09642,0,0.189136
0.028125,0.348648,0,24.0294,14.4635,0.751474,0,0.209189
0.101037,0.4436,0,22.8145,13.1165,0.982388,0,0.26616
0.0466728,0.432476,0,23.9352,14.4685,0.746807,0,0.259486
0.0557593,0.218753,0,23.4524,13.9366,0.429772,0,0.131252
0.058515,0.252804,0,23.4883,13.9066,0.164728,0,0.151683
0.0520537,0.245485,0,23.1432,14.0062,0.0633631,0,0.147291
0.065312,0.164994,0,23.0449,13.773,0.116611,0,0.0989965
0.0435246,0.559859,0,22.8646,14.4105,1.90541,0,0.335915
0.0763395,0.313729,0,23.2243,13.647,0.779541,0,0.188238
0.00133152,0.145676,0,24.1003,14.9756,0.373127,0,0.0874057
0.114309,0.343351,0,22.6918,12.9772,0.580814,0,0.206011
0.039445,0.288863,0,22.9256,14.3184,0.96616,0,0.173318
0.036334,0.242244,0,23.1503,14.3203,0.462794,0,0.145346
0.0123588,0.409398,0,23.9608,14.88,1.05522,0,0.245639
0.127769,0.219104,0,21.6298,12.6769,0.894717,0,0.131463
0.0181402,0.334244,0,23.8006,14.6583,0.362165,0,0.200547
0.0406304,0.303441,0,23.1389,14.294,1.29419,0,0.182065
0.112395,0.266698,0,22.9004,13.1948,0.437337,0,0.160019
0.0244684,0.208081,0,23.635,14.5304,0.09656,0,0.124849
0.0496237,0.375111,0,23.3646,14.1466,0.0860605,0,0.225067
0.0104316,0.251678,0,24.094,14.8259,0.313862,0,0.151007
0.0337538,0.314473,0,23.4093,14.5847,1.39557,0,0.188684
0.119397,0.277479,0,22.7311,13.5832,1.24343,0,0.166487
0.0430898,0.440252,0,23.3254,14.2824,0.537691,0,0.264151
0.0402948,0.27903,0,23.8928,14.3365,0.38265,0,0.167418
0.153125,0.291029,0,20.9548,13.0255,1.14113,0,0.174617
0.050069,0.207343,0,22.8924,14.047,0.21259,0,0.124406
