t,x,y,yaw,cmd_vx,cmd_wz,scan_min,map_x,map_y
2.5610,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5701,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8282,nan,nan
2.5816,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.5897,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.5990,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6087,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6191,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6327,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6398,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6486,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6587,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6691,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8313,nan,nan
2.6798,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.6898,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.6994,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7094,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7198,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7293,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7393,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7516,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7616,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7696,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7808,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7896,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.7988,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8096,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8195,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8293,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8387,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8516,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8631,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8687,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8266,nan,nan
2.8793,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.8914,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9005,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9093,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9191,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9296,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9394,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9493,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9594,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
2.9693,5.6941,-7.2273,0.1201,0.0000,0.0000,0.8277,nan,nan
