world,seed,controller,success,collision,ttg,goal_err,path_len,min_clear,rms_dv,vmax,note
blocked,9,comppi_b4,True,False,21.66,0.236,7.55,0.269,0.0114,0.4,RESULT: SUCCESS (status=4)
blocked,9,comppi_b16,False,False,29.36,0.264,7.53,0.269,0.0074,0.4,RESULT: FAILURE (status=6)
blocked,9,comppi_b32,True,False,23.26,0.243,7.49,0.206,0.0098,0.4,RESULT: SUCCESS (status=4)
blocked,10,comppi_b2,False,False,21.36,4.164,3.47,0.25,0.008,0.393,RESULT: FAILURE (status=6)
blocked,10,comppi_b4,True,False,21.46,0.24,7.54,0.292,0.0126,0.4,RESULT: SUCCESS (status=4)
blocked,10,comppi_b16,False,False,29.36,0.288,7.5,0.292,0.008,0.4,RESULT: FAILURE (status=6)
blocked,10,comppi_b32,True,False,22.68,0.246,7.47,0.206,0.0096,0.4,RESULT: SUCCESS (status=4)
blocked,11,comppi_b2,False,False,24.56,3.212,4.44,0.25,0.0084,0.384,RESULT: FAILURE (status=6)
blocked,11,comppi_b4,True,False,21.36,0.243,7.52,0.292,0.0116,0.4,RESULT: SUCCESS (status=4)
blocked,11,comppi_b16,False,False,29.26,0.259,7.49,0.292,0.0076,0.4,RESULT: FAILURE (status=6)
blocked,11,comppi_b32,True,False,22.66,0.248,7.45,0.206,0.01,0.4,RESULT: SUCCESS (status=4)
blocked,12,comppi_b2,False,False,23.26,3.614,4.03,0.25,0.008,0.391,RESULT: FAILURE (status=6)
blocked,12,comppi_b4,True,False,21.06,0.248,7.5,0.269,0.0154,0.4,RESULT: SUCCESS (status=4)
blocked,12,comppi_b16,False,False,29.26,0.271,7.48,0.292,0.008,0.4,RESULT: FAILURE (status=6)
blocked,12,comppi_b32,True,False,22.56,0.248,7.45,0.206,0.009,0.4,RESULT: SUCCESS (status=4)
blocked,13,comppi_b2,False,False,25.46,2.814,4.99,0.25,0.0092,0.4,RESULT: FAILURE (status=6)
blocked,13,comppi_b4,True,False,21.66,0.241,7.75,0.25,0.0118,0.4,RESULT: SUCCESS (status=4)
blocked,13,comppi_b16,False,False,29.06,0.294,7.71,0.269,0.0079,0.4,RESULT: FAILURE (status=6)
blocked,13,comppi_b32,True,False,23.16,0.248,7.49,0.206,0.0105,0.4,RESULT: SUCCESS (status=4)
blocked,14,comppi_b2,False,False,17.56,5.568,2.04,0.25,0.0073,0.382,RESULT: FAILURE (status=6)
blocked,14,comppi_b4,False,False,15.36,5.609,1.99,0.3,0.0085,0.39,RESULT: FAILURE (status=6)
blocked,14,comppi_b16,True,False,27.46,0.25,7.63,0.269,0.008,0.4,RESULT: SUCCESS (status=4)
blocked,14,comppi_b32,True,False,23.18,0.244,7.49,0.206,0.01,0.4,RESULT: SUCCESS (status=4)
