t,x,y,yaw,v,w
6.702,1.2000,5.0000,0.0000,0.0000,0.0000
6.722,1.2000,5.0000,0.0000,0.0000,0.0000
6.742,1.2000,5.0000,0.0000,0.0000,0.0000
6.762,1.2000,5.0000,0.0000,0.0000,0.0000
6.782,1.2000,5.0000,0.0000,0.0000,0.0000
6.802,1.2000,5.0000,0.0000,0.0000,0.0000
6.822,1.2000,5.0000,0.0000,0.0000,0.0000
6.842,1.2000,5.0000,0.0000,0.0000,0.0000
6.862,1.2000,5.0000,0.0000,0.0000,0.0000
6.882,1.2000,5.0000,0.0000,0.0000,0.0000
6.902,1.2000,5.0000,0.0000,0.0000,0.0000
6.922,1.2000,5.0000,0.0000,0.0000,0.0000
6.942,1.2000,5.0000,0.0000,0.0000,0.0000
6.962,1.2000,5.0000,0.0000,0.0000,0.0000
6.982,1.2000,5.0000,0.0000,0.0000,0.0000
7.002,1.2000,5.0000,0.0000,0.0000,0.0000
7.022,1.2000,5.0000,0.0000,0.0000,0.0000
7.042,1.2000,5.0000,0.0000,0.0000,0.0000
7.062,1.2000,5.0000,0.0000,0.0000,0.0000
7.082,1.2000,5.0000,0.0000,0.0000,0.0000
7.102,1.2000,5.0000,0.0000,0.0000,0.0000
7.122,1.2000,5.0000,0.0000,0.0000,0.0000
7.142,1.2000,5.0000,0.0000,0.0000,0.0000
7.162,1.2000,5.0000,0.0000,0.0000,0.0000
7.182,1.2000,5.0000,0.0000,0.0000,0.0000
7.202,1.2000,5.0000,0.0000,0.0000,0.0000
7.222,1.2000,5.0000,0.0000,0.0000,0.0000
7.242,1.2000,5.0000,0.0000,0.0000,0.0000
7.263,1.2000,5.0000,0.0000,0.0000,0.0000
7.283,1.2000,5.0000,0.0000,0.0000,0.0000
7.302,1.2000,5.0000,0.0000,0.0000,0.0000
7.322,1.2000,5.0000,0.0000,0.0000,0.0000
7.342,1.2000,5.0000,0.0000,0.0000,0.0000
7.362,1.2000,5.0000,0.0000,0.0000,0.0000
7.382,1.2000,5.0000,0.0000,0.0000,0.0000
7.402,1.2000,5.0000,0.0000,0.0000,0.0000
7.422,1.2000,5.0000,0.0000,0.0000,0.0000
7.442,1.2000,5.0000,0.0000,0.0000,0.0000
7.462,1.2000,5.0000,0.0000,0.0000,0.0000
7.482,1.2000,5.0000,0.0000,0.0000,0.0000
7.502,1.2000,5.0000,0.0000,0.0000,0.0000
7.522,1.2000,5.0000,0.0000,0.0000,0.0000
7.543,1.2000,5.0000,0.0000,0.0000,0.0000
7.562,1.2000,5.0000,0.0000,0.0000,0.0000
7.582,1.2000,5.0000,0.0000,0.0000,0.0000
7.602,1.2000,5.0000,0.0000,0.0000,0.0000
7.623,1.2000,5.0000,0.0000,0.0000,0.0000
7.642,1.2000,5.0000,0.0000,0.0000,0.0000
7.662,1.2000,5.0000,0.0000,0.0000,0.0000
7.682,1.2000,5.0000,0.0000,0.0000,0.0000
7.702,1.2000,5.0000,0.0000,0.0000,0.0000
7.722,1.2000,5.0000,0.0000,0.0000,0.0000
7.742,1.2000,5.0000,0.0000,0.0000,0.0000
7.762,1.2000,5.0000,0.0000,0.0000,0.0000
7.782,1.2000,5.0000,0.0000,0.0000,0.0000
7.802,1.2000,5.0000,0.0000,0.0000,0.0000
7.822,1.2000,5.0000,0.0000,0.0000,0.0000
7.845,1.2000,5.0000,0.0000,0.0000,0.0000
7.862,1.2000,5.0000,0.0000,0.0000,0.0000
7.886,1.2000,5.0000,0.0000,0.0000,0.0000
7.902,1.2000,5.0000,0.0000,0.0000,0.0000
7.922,1.2000,5.0000,0.0000,0.0000,0.0000
7.943,1.2000,5.0000,0.0000,0.0000,0.0000
7.962,1.2000,5.0000,0.0000,0.0000,0.0000
7.982,1.2000,5.0000,0.0000,0.0000,0.0000
8.003,1.2000,5.0000,0.0000,0.0000,0.0000
8.022,1.2000,5.0000,0.0000,0.0000,0.0000
